TC ID,Section,User Story,Scenario,Pre-condition,Steps,Test Data,Expected Output,Actual Output,Pass/Fail
TC025,Functional,US004 Product Registration,Bulk upload empty file,Admin logged in,Upload empty file,File: empty CSV,"Red banner ""Please choose a CSV file."" or ""CSV had no data rows.""",,
TC026,Functional,US005 View Catalog,Customer sees all products,"TC023 done; logged in as customer",Navigate to Catalog,-,"Table lists all 10 imported products with id/name/description/brand/price/stock/Add button.",,
TC027,Functional,US005 View Catalog,Search by product name filters results,Catalog populated,"Type rice in search box; click Search",Search term: rice,"Table is filtered showing only rows whose product_name contains rice (case-insensitive).",,
TC028,Functional,US005 View Catalog,Empty search returns all products,Catalog populated,Submit search with empty box,-,"All products shown; same as TC026.",,
TC029,Functional,US005 View Catalog,Empty catalog message,"Fresh DB; no products","Login as customer; open Catalog",-,"Page shows ""No products available right now."" No exceptions.",,
TC030,Functional,US006 Add to Cart,Add product to cart with valid quantity,"Customer logged in; products exist","On Catalog row, set quantity, click Add",Quantity: 2,"Redirected back to Catalog. Green flash ""Product added to wishlist."" Row in wishlist table for that user/product.",,
TC031,Functional,US006 Add to Cart,Add same product twice (quantity increments),TC030 done,Click Add again on same product,Quantity: 1,"Quantity in wishlist increments to 3 (2 + 1). Only one row for that product.",,
TC032,Functional,US006 Add to Cart,Out-of-stock product cannot be added,Product with stock_availability=0,Open Catalog,-,"""Out of stock"" label shown instead of Add button for that row.",,
TC033,Functional,US007 Update Cart,Update quantity in cart,Cart has at least one item,"Open Cart/Wishlist; change quantity; click Update",New quantity: 5,"Page reloads with green flash ""Quantity updated."" Subtotal recalculated. wishlist.quantity updated in DB.",,
TC034,Functional,US007 Update Cart,Update quantity to 0 rejected,Cart has at least one item,"Set quantity to 0; click Update",Quantity: 0,"Either browser blocks (HTML5 min=1) or server returns ""Quantity must be positive.""",,
TC035,Functional,US007 Update Cart,Remove item from cart,Cart has at least one item,Click Remove on a row,-,"Row deleted from wishlist. Page reloads with green flash ""Item removed from wishlist.""",,
TC036,Functional,US008 Place Order,Place order with items in cart,Cart has 2 items,"Open Cart; click Place Order; confirm",-,"Redirected to /customer/orderConfirmation.jsp. Page lists each line item with subtotals + grand total. New rows in grocery_order.",,
TC037,Functional,US008 Place Order,Stock decrements atomically after order,TC036 done,Compare product.stock_availability before and after,-,"Stock for each ordered product reduced by exactly the ordered quantity.",,
TC038,Functional,US008 Place Order,Cart cleared after order,TC036 done,Navigate to Cart,-,"Page shows ""Your cart is empty."" wishlist rows for that user are deleted.",,
TC039,Functional,US008 Place Order,Place order with empty cart rejected,Cart is empty,Click Place Order,-,"Red flash ""Your cart is empty."" No DB changes.",,
TC040,Functional,US008 Place Order,Order more than stock rejected,Set cart quantity > stock,Click Place Order,Cart qty 100; stock 50,"Red flash ""Not enough stock for X (have 50, asked 100)."" Order rejected; stock unchanged; cart preserved.",,
TC041,Functional,US009 Order History,View past orders,TC036 done,Click My Orders,-,"Table lists every past order: ID/date/product/qty/price/line total. Sorted newest first.",,
TC042,Functional,US009 Order History,Empty history for new customer,"Fresh customer; no orders",Click My Orders,-,"Page shows ""You have not placed any orders yet.""",,
TC043,Functional,US010 Profile Update,Update profile fields,Customer logged in,"Navigate to Profile; change fields; click Save Changes",Name: Indra B.; Address: Mumbai,"Green banner ""Profile updated successfully."" customer row updated. Header updates to Hi, Indra B.",,
TC044,Functional,US010 Profile Update,Update profile with invalid email,Customer logged in,"Change email to malformed value; save",Email: bad-email,"Red banner ""Email format is invalid: bad-email."" Profile unchanged.",,
TC045,Functional,US010 Profile Update,Update profile with email already in use,Two customers exist; try to take the other's email,Change email to one belonging to another user,Email: another customer's email,"Red banner ""Email already in use: …"" Profile unchanged.",,
TC046,Functional,US011 Soft Delete,Deactivate own account,Customer logged in,"On home page click Deactivate Account; confirm",-,"Session invalidated; redirected to /login.jsp?deactivated=1. login.status='Inactive' in DB.",,
TC047,Functional,US011 Soft Delete,Customer record retained after deactivation,TC046 done,Inspect login and customer tables,-,"Both rows still exist (no hard delete); login.status='Inactive'.",,
TC048,Functional,US012 Restore Account,Reactivate from login page,TC046 done,"Enter deactivated email + correct password; reactivation form appears; confirm password and submit",Email: indra@test.com; Password: pass123,"Green banner ""Account reactivated. You can now log in."" login.status='Active'.",,
TC049,Functional,US012 Restore Account,Reactivation requires correct password,TC046 done,Try to reactivate with wrong password,Email: indra@test.com; Password: wrong,"Red banner ""Invalid credentials — cannot reactivate."" Status remains Inactive.",,
TC050,Functional,US012 Restore Account,Login works after reactivation,TC048 done,Submit normal login,Email: indra@test.com; Password: pass123,"Login succeeds; redirected to /customer/index.jsp.",,
TC051,Functional,US_Web_005 Logout,Logout invalidates session,Customer logged in,Click Logout,-,"Redirected to /login.jsp?loggedOut=1 with green banner ""You have been logged out.""",,
TC052,Functional,US_Web_005 Logout,Cookies cleared on logout,Logged in,"Inspect cookies in DevTools; click Logout; re-inspect",-,"JSESSIONID cookie is removed (or set with Max-Age=0).",,
TC053,Functional,US_Web_005 Logout,URL access blocked after logout,Logged in then logged out,Paste /customer/catalog in URL bar after logout,-,"Redirected to /login.jsp?expired=1. Protected page is NOT shown.",,
TC054,Functional,US_Web_005 Logout,Browser back button after logout doesn't show protected page,Logged in then logged out,Press browser Back,-,"Either fresh redirect to login OR page shows but any link/action redirects. (No-cache headers prevent stale page from cache.)",,
TC055,Functional,US_Web_005 Cross-role,Customer cannot access admin pages,Logged in as customer,Paste /admin/index.jsp in URL bar,-,"Redirected to /customer/index.jsp. AuthFilter blocks access.",,
TC056,Functional,US_Web_005 Cross-role,Admin cannot access customer pages,Logged in as admin,Paste /customer/catalog in URL bar,-,"Redirected to /admin/index.jsp. AuthFilter blocks access.",,
TC057,Functional,US_Web_003 Product Mgmt,Update product as admin,"Products exist; admin logged in","Product Info; click Update on a row; edit and save",Change price from 120 to 150,"Green banner ""Product N updated."" Catalog reflects new price.",,
TC058,Functional,US_Web_003 Product Mgmt,Delete product as admin,"Products exist; admin logged in","Product Info; click Delete on a row; confirm",-,"Green banner ""Product N deleted."" Row removed from product; related wishlist and grocery_order rows also cleaned up.",,
IT001,Integration,US013 Code Integration,Customer registration → login → home,App running,"Register; log out; log back in",-,"login row has userType='customer', status='Active'. customer row linked by login_id. Session attributes login/customerId/displayName set. Customer lands on /customer/index.jsp.",,
IT002,Integration,US013 Code Integration,Admin add product → customer sees in catalog,App running,"Admin adds product; customer logs in; opens Catalog",-,"New product row visible to a different customer's session. JSP renders price/stock/Add button. Customer sees the just-added product without restart.",,
IT003,Integration,US013 Code Integration,"Add to cart → place order → stock decrements → order in history","Product P stock = 10","Add 3× P to cart; place order",-,"Before: wishlist row exists; product stock = 10. After: wishlist cleared, 1 row in grocery_order, product stock = 7. My Orders lists the order.",,
IT004,Integration,US013 Code Integration,"Bulk CSV → search → add → place order",Admin logged in,"Upload sample-products.csv; customer searches rice; adds 2 to cart; places order",-,"10 product rows inserted. Search returns Basmati Rice. After order: grocery_order row with quantity=2; stock for that product reduced by 2.",,
IT005,Integration,US013 Code Integration,"Deactivate → blocked login → reactivate → login succeeds",Customer registered,Chain TC046 → TC015 → TC048 → TC050,-,"login.status toggles Active → Inactive → Active. Behaviour for each state enforced at login.",,
IT006,Integration,US013 Code Integration,Profile email change updates login row too,Customer logged in,"Update email in Profile; subsequently log in with new email",New email: newemail@test.com,"After update: both customer.email and login.email reflect the new value (transactional). Login with old email fails. Login with new email succeeds.",,
IT007,Integration,US013 Code Integration,End-to-end logout,Logged in,"Use the app; logout; revisit any /admin/* or /customer/* URL",-,"Session invalidated; all cookies cleared; all subsequent protected URLs redirect to login. Browser cache should not serve stale protected pages.",,
IT008,Integration,US013 Code Integration,Delete product cascades to dependent rows,"Product exists in some cart and order","Admin deletes a product that exists in some customer's cart and order history",-,"After delete: that product gone from product. wishlist rows for it gone. grocery_order rows for it gone. No FK violations; no orphaned references.",,
